#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
JAACYQ010014612.1	1	1624	1398	1624	100	84.556	34.7	58.4
JAACYQ010014625.1	1	12892	11204	12890	99.9845	84.4265	34.9	56.8
JAACYQ010014652.1	1	11850	13044	11850	100	110.32	35	59.3
JAACYQ010014663.1	1	6748	7211	6747	99.9852	105.749	34.9	51.3
JAACYQ010014664.1	1	4560	4559	4560	100	98.6833	35	58.1
JAACYQ010014720.1	1	5400	7179	5400	100	131.411	35	59.7
JAACYQ010014799.1	1	13315	14525	13315	100	108.874	35	53.7
JAACYQ010014802.1	1	6247	3074	6247	100	48.5673	35	54.3
JAACYQ010014812.1	1	1787	1781	1787	100	99.0968	35.1	57.9
JAACYQ010014901.1	1	4084	3793	4084	100	92.8134	34.9	59.8
JAACYQ010014978.1	1	3105	1632	3105	100	51.3781	35.1	46.9
MU014363.1	1	1531	1110	1521	99.3468	72.5402	34.8	58.5
MU014364.1	1	1508	425	1299	86.1406	18.5444	28.9	38.9
JAACYQ010015459.1	1	6736	7583	6733	99.9555	112.447	35	47.4
JAACYQ010015511.1	1	4240	3246	4238	99.9528	76.1026	34.9	58.7
MU014365.1	1	7194	22822	7042	97.8871	266.7	34.5	53.4
JAACYQ010015676.1	1	2962	3514	2962	100	116.468	34.6	56.1
JAACYQ010015699.1	1	7827	8603	7827	100	108.898	35	58.9
JAACYQ010015765.1	1	2653	4798	2653	100	177.871	35	52.8
JAACYQ010015795.1	1	3457	3518	3457	100	100.065	35	59.3
JAACYQ010015821.1	1	8708	8781	8708	100	100.101	35	59.4
JAACYQ010015848.1	1	3603	3661	3603	100	102.277	34.9	52.7
JAACYQ010015863.1	1	2187	2260	2187	100	101.012	34.1	41.6
JAACYQ010015876.1	1	2519	2443	2232	88.6066	87.11	33.8	48.7
JAACYQ010015877.1	1	1449	1352	1449	100	91.2402	34.1	58.8
JAACYQ010016016.1	1	6512	6325	6511	99.9846	96.6342	34.5	59.1
JAACYQ010016024.1	1	1764	1837	1759	99.7166	103.856	35	58.1
JAACYQ010016044.1	1	4140	3503	4138	99.9517	81.9138	34.8	57.1
JAACYQ010016079.1	1	2624	2267	2624	100	87.322	34.9	59.7
JAACYQ010016090.1	1	4580	4446	4580	100	96.1382	35.1	59.8
JAACYQ010016093.1	1	7900	7531	7900	100	94.3457	34.9	59.5
JAACYQ010016121.1	1	5097	5846	5097	100	114.55	35	59.6
JAACYQ010016124.1	1	1969	2624	1969	100	132.497	35.1	55.7
JAACYQ010016171.1	1	3977	4058	3977	100	101.231	35.1	51.6
JAACYQ010016195.1	1	4819	5637	4819	100	116.659	35	57.3
JAACYQ010016237.1	1	1387	1839	1387	100	101.616	32.8	39.5
JAACYQ010016308.1	1	2174	4912	2174	100	226.63	34.4	59.8
MU014366.1	1	1376	563	1237	89.8983	21.1744	26.8	15
JAACYQ010016494.1	1	14258	14363	14255	99.979	100.054	35	59.4
JAACYQ010016533.1	1	3950	3573	3947	99.9241	89.623	35	55
MU014367.1	1	3512	2817	3508	99.8861	79.4527	34.8	58.8
JAACYQ010016551.1	1	12471	12963	12471	100	103.261	35	56.3
JAACYQ010016552.1	1	1120	669	1120	100	60.1143	34.7	51.7
JAACYQ010016553.1	1	6455	6242	6455	100	95.9131	34.9	54.9
JAACYQ010016617.1	1	10541	10514	10541	100	99.2825	34.9	59.4
MU014368.1	1	8759	8779	8751	99.9087	99.6006	34.7	59.7
MU014369.1	1	8108	7988	7973	98.335	97.6264	35.1	59.7
JAACYQ010016695.1	1	7848	8314	7847	99.9873	105.005	34.9	54.8
JAACYQ010016814.1	1	8400	8751	8400	100	103.942	35	59.8
JAACYQ010016833.1	1	14764	7460	14764	100	47.5042	35.1	49.7
JAACYQ010016843.1	1	9865	8978	9865	100	93.7198	34.8	59.3
JAACYQ010016865.1	1	10438	9844	10432	99.9425	93.7123	35.1	59.2
JAACYQ010016869.1	1	6183	5926	6183	100	95.1312	34.9	57.2
JAACYQ010016896.1	1	4430	4913	4430	100	109.316	34.5	59.7
JAACYQ010016899.1	1	6558	8842	6558	100	128.41	34.6	50.3
JAACYQ010016918.1	1	1598	1916	1598	100	119.18	34.9	59.5
JAACYQ010016954.1	1	3010	3192	3010	100	105.028	34.7	59.3
JAACYQ010016957.1	1	4611	4562	4611	100	97.8599	35.1	59.5
JAACYQ010016962.1	1	1794	2138	1794	100	113.976	35.1	57.7
JAACYQ010017025.1	1	1592	5095	1592	100	312.096	34.8	54.7
JAACYQ010017035.1	1	4589	3974	4589	100	85.9684	34.9	59.8
JAACYQ010017037.1	1	4903	5069	4903	100	102.69	35	48.4
JAACYQ010017053.1	1	2506	2764	2506	100	110.082	35.1	58.2
JAACYQ010017065.1	1	4405	4538	4405	100	101.646	34.9	56
JAACYQ010017088.1	1	1219	819	1219	100	66.7112	33	58.8
JAACYQ010017096.1	1	5965	5715	5965	100	94.6091	35	57.4
JAACYQ010017174.1	1	5404	5144	5402	99.963	95.0228	34.9	59.1
JAACYQ010017202.1	1	4083	4102	4083	100	99.9346	35	55.5
MU014370.1	1	5762	5304	5754	99.8612	90.499	33.9	57.8
MU014371.1	1	7059	6747	6959	98.5834	94.4475	35	58.9
MU014372.1	1	6514	6514	6502	99.8158	99.298	35.1	57
MU014373.1	1	7365	6664	7355	99.8642	89.9832	35.1	59.4
MU014374.1	1	3950	3634	3943	99.8228	90.4922	34.8	59.5
JAACYQ010017434.1	1	4373	4461	4373	100	101.593	35.1	59.9
JAACYQ010017472.1	1	4812	5117	4812	100	105.147	35	59.1
MU014375.1	1	2202	1566	2006	91.099	68.0477	32.8	55.9
JAACYQ010017566.1	1	10448	12650	10447	99.9904	120.08	34.9	43.6
JAACYQ010017630.1	1	9068	8956	9068	100	97.7249	34.9	59.7
JAACYQ010017639.1	1	3134	3157	3134	100	101.121	34.9	58.9
JAACYQ010017643.1	1	2553	2435	2553	100	92.7344	34.9	59.8
JAACYQ010017653.1	1	5756	6422	5756	100	110.808	35	59.9
JAACYQ010017657.1	1	5712	6208	5688	99.5798	107.975	35	58.3
JAACYQ010017663.1	1	6663	6727	6663	100	100.352	35	60
JAACYQ010017727.1	1	4657	3758	4653	99.9141	80.07	34.9	57.9
JAACYQ010017730.1	1	6838	7039	6835	99.9561	101.244	34.9	57.3
JAACYQ010017755.1	1	7881	8554	7881	100	108.191	35	57.2
JAACYQ010017763.1	1	4418	4421	4413	99.8868	98.5736	34.7	59.4
JAACYQ010017779.1	1	3599	5568	3599	100	153.416	34.9	43.8
JAACYQ010017780.1	1	8479	7848	8479	100	91.6553	35	54.3
JAACYQ010017788.1	1	9703	101832	9702	99.9897	1017.76	35.1	53.5
JAACYQ010017801.1	1	3593	3178	3593	100	88.1305	34.9	59.8
JAACYQ010017805.1	1	8766	8766	8766	100	99.4838	35	59.9
JAACYQ010017859.1	1	1236	1219	1234	99.8382	100.344	35.1	59.9
JAACYQ010017908.1	1	7123	8122	7123	100	113.247	35.1	55.5
MU014376.1	1	13271	10966	13263	99.9397	82.0989	35	51.2
JAACYQ010017985.1	1	7891	8598	7891	100	107.929	35	57.8
JAACYQ010018068.1	1	4815	4498	4815	100	92.2906	35.1	59.9
JAACYQ010018084.1	1	3871	3260	3871	100	83.4916	33.6	59.9
JAACYQ010018098.1	1	5389	5797	5389	100	105.164	34.9	47
JAACYQ010018105.1	1	2344	2808	2344	100	117.772	35	32.9
JAACYQ010018110.1	1	2472	2311	2472	100	94.6711	35.2	59.9
JAACYQ010018149.1	1	2619	2720	2619	100	103.499	35.1	55.8
JAACYQ010018150.1	1	12585	12513	12583	99.9841	98.9663	35	59.6
JAACYQ010018151.1	1	7481	6433	7480	99.9866	85.4892	35	58.9
JAACYQ010018157.1	1	7709	6851	7709	100	88.1479	35	59.8
JAACYQ010018165.1	1	8815	8582	8815	100	96.719	34.8	59.1
JAACYQ010018202.1	1	3530	3305	3530	100	92.8071	35	59.1
JAACYQ010018204.1	1	3022	2752	3022	100	90.1952	35	58.1
JAACYQ010018327.1	1	1510	2110	1510	100	135.464	33.5	58.9
JAACYQ010018349.1	1	15214	18970	15214	100	123.836	35	58.6
MU014377.1	1	7251	5908	7237	99.8069	80.3459	35.1	44
JAACYQ010018385.1	1	6152	5270	6152	100	84.0915	34.9	59.6
JAACYQ010018403.1	1	5752	5414	5752	100	94.5243	35	59.9
JAACYQ010018428.1	1	12330	2992	12144	98.4915	23.8621	34.8	9.61
JAACYQ010018440.1	1	6159	5380	6159	100	86.8872	34.9	56.8
JAACYQ010018444.1	1	8448	8068	8448	100	94.622	35	60
MU014378.1	1	7776	6971	7756	99.7428	89.4614	35.1	51.5
JAACYQ010018558.1	1	5102	5421	5102	100	105.119	34.8	59.8
MU014379.1	1	15511	14423	15411	99.3553	92.3778	35	59.6
MU014380.1	1	9885	8683	9844	99.5852	86.5469	35	59.1
JAACYQ010018619.1	1	13146	12783	13146	100	96.8316	35.1	59.8
JAACYQ010018620.1	1	12358	11323	12358	100	90.2573	34.7	55.6
JAACYQ010018653.1	1	11136	10845	11136	100	95.9606	34.9	58.8
JAACYQ010018693.1	1	5733	5607	5733	100	96.8188	35	59.8
JAACYQ010018694.1	1	5848	5211	5848	100	88.5816	34.9	54.6
JAACYQ010018712.1	1	5297	4733	5297	100	88.6666	34.8	58.7
JAACYQ010018717.1	1	8745	9189	8745	100	104.549	35	59.3
MU014381.1	1	11778	10046	11768	99.9151	84.9288	35	59.8
JAACYQ010018765.1	1	11482	10624	11482	100	91.6618	35	59.6
JAACYQ010018792.1	1	4880	4884	4880	100	97.7088	34.8	53
JAACYQ010018797.1	1	9760	8760	9760	100	89.3677	35.1	59.8
JAACYQ010018802.1	1	9082	8192	9082	100	89.995	35	59.7
JAACYQ010018818.1	1	5253	5029	5250	99.9429	93.9496	35	59.4
JAACYQ010018830.1	1	12921	12721	12921	100	97.9484	34.9	57.1
MU014382.1	1	6894	5645	6894	100	80.8014	34.9	58.1
JAACYQ010018898.1	1	6944	6178	6944	100	88.7697	35	59.7
JAACYQ010018964.1	1	8002	7871	8002	100	94.0652	35	51.6
JAACYQ010018986.1	1	3278	12311	3278	100	376.448	34.8	59.7
JAACYQ010018989.1	1	8658	7902	8657	99.9884	91.0331	34.8	59.8
JAACYQ010018991.1	1	16126	15605	16084	99.7396	95.8106	35	58.5
JAACYQ010019014.1	1	9010	8841	9010	100	97.3801	35	59.7
JAACYQ010019024.1	1	8013	7614	8013	100	94.7238	35	59.8
JAACYQ010019064.1	1	3027	1334	3026	99.967	43.6551	34.8	5.69
JAACYQ010019169.1	1	10386	10158	10386	100	96.9167	35	54.7
JAACYQ010019182.1	1	1503	3574	1503	100	235.883	34.9	59.5
JAACYQ010019243.1	1	6632	6384	6632	100	94.1859	35.1	56.6
JAACYQ010019262.1	1	8360	7781	8360	100	93.1999	35	59.9
MU014383.1	1	7367	6433	7337	99.5928	86.3084	34.8	59.5
JAACYQ010019268.1	1	9901	9394	9901	100	94.2546	34.9	58.1
MU014384.1	1	15565	13197	15359	98.6765	84.0242	34.9	35.4
JAACYQ010019304.1	1	4490	5004	4490	100	110.345	34.8	58.6
MU014385.1	1	17587	18901	17581	99.9659	106.395	35	52.4
JAACYQ010019335.1	1	7481	7536	7481	100	87.6626	35	58
JAACYQ010019366.1	1	1442	73622	1442	100	4607.62	34.5	54.3
JAACYQ010019371.1	1	1188	912	1184	99.6633	71.8081	35	19.7
JAACYQ010019379.1	1	2286	1777	2286	100	73.1124	34.5	52.2
JAACYQ010019382.1	1	17215	15632	17209	99.9651	89.8705	34.8	58.5
JAACYQ010019410.1	1	3858	3105	3853	99.8704	78.2307	34.6	18.6
MU014386.1	1	10531	9884	10496	99.6676	91.3153	33.7	58
JAACYQ010019426.1	1	6976	10127	6976	100	143.076	34	59.8
JAACYQ010019534.1	1	1474	829	1474	100	55.3046	34.7	53.3
MU014387.1	1	21224	16995	21214	99.9529	79.6386	34.9	38.1
JAACYQ010019579.1	1	4303	1620	4278	99.419	37.1571	35.1	1.74
JAACYQ010019634.1	1	9686	8172	9686	100	82.5716	34.2	59.4
MU014388.1	1	5194	5623	5181	99.7497	107.065	34.8	48.7
JAACYQ010019694.1	1	3108	3945	3104	99.8713	126.231	35	11.2
JAACYQ010019743.1	1	2865	5612	2865	100	194.97	34.5	10.8
JAACYQ010019756.1	1	3703	3401	3701	99.946	90.98	34.9	3.5
JAACYQ010019798.1	1	10453	9994	10448	99.9522	95.0177	35	51.2
JAACYQ010019811.1	1	7449	2550	7409	99.463	34.043	35	1.83
JAACYQ010019816.1	1	4538	1810	4527	99.7576	39.2735	34.8	4.94
JAACYQ010019855.1	1	6144	5339	6143	99.9837	81.0734	32.8	58.3
JAACYQ010019891.1	1	11209	13995	11209	100	124.541	35	45.3
JAACYQ010019896.1	1	9504	8678	9504	100	90.4196	35	51.6
JAACYQ010019915.1	1	11700	11335	11700	100	95.9042	35	55.7
JAACYQ010019926.1	1	5728	8236	5728	100	140.162	34.1	59.6
JAACYQ010019944.1	1	2473	5622	2473	100	216.972	34.8	16.2
JAACYQ010020174.1	1	2103	6895	2103	100	324.912	35	59.4
MU014389.1	1	91009	81413	87898	96.5817	88.6748	35	53.2
JAACYQ010020250.1	1	2078	3942	2078	100	182.042	35	59.6
JAACYQ010020290.1	1	3846	26964	3846	100	648.7	34.8	51.7
MU014390.1	1	1531	16481	1523	99.4775	1039.56	34.6	58.3
MU014391.1	1	10889	10619	10790	99.0908	93.4736	34.9	50.3
JAACYQ010020476.1	1	4394	7640	4394	100	171.101	35	59.9
MU014392.1	1	8103	7338	8004	98.7782	89.8493	34.9	46.4
JAACYQ010020520.1	1	10519	10040	10519	100	94.2634	34.9	52.9
MU014393.1	1	46041	62747	45942	99.785	135.114	34.8	56.8
JAACYQ010022907.1	1	2099	3632	2099	100	171.899	35	59.8
JAACYQ010022924.1	1	12846	17937	12846	100	136.25	34.9	39.3
JAACYQ010022925.1	1	1826	6197	1826	100	324.105	34.4	57.6
JAACYQ010022941.1	1	9702	11804	9702	100	120.75	34.9	45.3
JAACYQ010022943.1	1	11230	14395	11230	100	126.291	34.9	56.4
MU014394.1	1	3404	6167	3395	99.7356	175.373	34.8	59.4
JAACYQ010023404.1	1	11256	12327	11256	100	107.821	34.7	57.8
JAACYQ010023413.1	1	18756	20340	18756	100	104.984	34.1	54.2
JAACYQ010023439.1	1	9408	32830	9408	100	347.232	34.8	59.1
JAACYQ010023445.1	1	21887	25497	21887	100	115.887	35	47.6
JAACYQ010023452.1	1	4331	2650	4331	100	60.786	34.8	1.57
JAACYQ010023461.1	1	1741	941	1741	100	53.3038	34.8	2.34
JAACYQ010023462.1	1	1671	994	1669	99.8803	58.0946	34.7	0
JAACYQ010023578.1	1	2177	2093	2174	99.8622	95.5287	34.6	6.33
JAACYQ010023582.1	1	2177	3431	2177	100	157.096	34.7	0.761
MU014395.1	1	5217	3036	5130	98.3324	57.1487	35	3.1
JAACYQ010023711.1	1	9594	4893	9594	100	51.0495	35.1	0.189
JAACYQ010023712.1	1	9593	5108	9593	100	52.9484	35	0.00764
JAACYQ010023715.1	1	8554	4382	8554	100	50.9581	35	0.484
JAACYQ010023716.1	1	8554	4356	8504	99.4155	50.6448	35.1	0
JAACYQ010023717.1	1	2234	963	2234	100	42.9602	35.1	2.75
JAACYQ010023718.1	1	2237	929	2237	100	40.7497	34.9	0.499
JAACYQ010023743.1	1	2662	1086	2658	99.8497	40.9808	34.9	6.05
JAACYQ010023744.1	1	2662	1242	2662	100	46.4602	34.9	7.83
JAACYQ010023745.1	1	2860	1213	2806	98.1119	42.1573	34.7	6.76
JAACYQ010023746.1	1	2860	1173	2860	100	40.8024	34.8	5.07
JAACYQ010023748.1	1	1318	948	1318	100	71.7564	35.2	10.4
JAACYQ010023783.1	1	1319	619	1316	99.7726	46.3632	35.3	7.49
MU014396.1	1	5217	2971	5135	98.4282	56.5624	35	3.42
JAACYQ010023815.1	1	4232	2136	4231	99.9764	50.1536	35	3.6
JAACYQ010023854.1	1	5834	3292	5834	100	56.2928	35	4.53
JAACYQ010023855.1	1	5470	2955	5465	99.9086	53.4733	35.1	7.01
JAACYQ010023884.1	1	5842	3027	5842	100	51.7942	35	2.05
JAACYQ010023885.1	1	5470	2561	5470	100	46.4746	35	4.07
JAACYQ010023892.1	1	3501	1943	3501	100	54.5636	34.7	7.56
JAACYQ010023906.1	1	7054	3831	7054	100	53.4242	35.1	0.34
JAACYQ010023907.1	1	7053	3804	7053	100	54.0472	35.1	0.537
JAACYQ010023908.1	1	9241	4939	9241	100	53.0182	35	0.131
JAACYQ010023909.1	1	9240	4917	9240	100	52.397	35	0.459
JAACYQ010023912.1	1	14767	16365	14767	100	110.132	35	55.8
JAACYQ010023914.1	1	10360	10180	10360	100	97.5235	34.9	54.5
MU014397.1	1	14153	6634	14026	99.1027	46.4742	35.1	2.14
JAACYQ010023934.1	1	23244	14208	23243	99.9957	60.7322	34.9	0.204
JAACYQ010023935.1	1	23246	14514	23244	99.9914	62.0942	34.9	0.454
JAACYQ010023936.1	1	7254	4001	7226	99.614	54.8258	34.9	0.008
JAACYQ010023937.1	1	7255	4053	7254	99.9862	54.5174	34.9	1.37
JAACYQ010023949.1	1	6005	7544	6005	100	125.117	35	43.6
JAACYQ010023957.1	1	3934	4008	3934	100	101.842	35.1	59.8
JAACYQ010023969.1	1	7321	6197	7321	100	84.2777	35	58.4
JAACYQ010023971.1	1	14212	12112	14211	99.993	84.804	34.9	58.6
JAACYQ010023973.1	1	17259	9674	17259	100	55.6852	35	1.36
JAACYQ010023974.1	1	17258	9812	17258	100	56.4635	34.9	1.4
JAACYQ010023975.1	1	24523	13033	24523	100	52.8367	34.9	0.796
JAACYQ010023976.1	1	24524	13639	24524	100	55.3021	34.9	0.304
JAACYQ010024003.1	1	4397	1975	4397	100	44.2106	35.1	5.52
JAACYQ010024035.1	1	7517	3362	7517	100	44.0451	34.9	5.81
JAACYQ010024041.1	1	13644	8453	13638	99.956	61.7293	35	10.3
JAACYQ010024057.1	1	7588	7657	7588	100	100.486	35	49.9
JAACYQ010024065.1	1	7516	2636	7510	99.9202	34.6217	35	0.879
JAACYQ010024066.1	1	13664	7485	13633	99.7731	54.5356	34.9	6.96
JAACYQ010024082.1	1	3724	1785	3722	99.9463	46.5502	34.9	0.0218
JAACYQ010024083.1	1	12014	5053	12004	99.9168	41.7084	34.9	1.05
JAACYQ010024085.1	1	2713	1539	2713	100	56.2016	35	12.5
JAACYQ010024090.1	1	7788	4482	7788	100	57.0321	35.1	0.607
MU014398.1	1	12685	12045	12585	99.2117	94.5574	35	59.9
JAACYQ010024114.1	1	7788	4584	7788	100	58.6516	35	0.916
JAACYQ010024120.1	1	4228	2185	4228	100	51.4099	35.2	1.83
JAACYQ010024125.1	1	20807	13725	20796	99.9471	65.4781	35	3.86
JAACYQ010024142.1	1	9097	4705	9097	100	51.3569	35.1	1.45
JAACYQ010024165.1	1	3841	3723	3841	100	96.8123	35.1	59.9
JAACYQ010024166.1	1	9025	3938	8973	99.4238	41.8771	33.7	0.571
JAACYQ010024167.1	1	9023	4300	9023	100	46.1995	33.7	4.89
JAACYQ010024168.1	1	6800	5657	6800	100	59.8056	31.5	2.33
JAACYQ010024169.1	1	6797	3714	6797	100	49.2058	33.8	2.6
JAACYQ010024170.1	1	15999	16951	15999	100	105.41	34.9	59.8
JAACYQ010024171.1	1	3778	2071	3778	100	54.6824	35	0.041
JAACYQ010024172.1	1	3777	2168	3777	100	57.0985	34.9	0.928
JAACYQ010024188.1	1	20798	13826	20713	99.5913	65.9932	34.9	5.39
JAACYQ010024193.1	1	6381	6610	6381	100	102.969	34.9	58.5
JAACYQ010024201.1	1	4180	2259	4180	100	52.9282	35.1	13.4
MU014399.1	1	3429	1657	3329	97.0837	48.0195	34.8	2.37
JAACYQ010024245.1	1	9095	4897	9095	100	53.618	35.1	3.13
MU014400.1	1	13830	6166	13703	99.0817	43.6557	35	0.926
JAACYQ010024254.1	1	6259	14206	6259	100	225.78	34.8	59
JAACYQ010024256.1	1	3234	1802	3230	99.8763	55.8636	34.8	3.94
JAACYQ010024257.1	1	4182	2036	4172	99.7609	48.4156	34.9	15.3
JAACYQ010024264.1	1	6391	3109	6387	99.9374	48.0078	34.9	1.19
MU014401.1	1	13652	7912	13558	99.3115	57.5672	35.1	8.19
JAACYQ010024282.1	1	6392	3533	6392	100	54.8706	34.9	3.35
MU014402.1	1	11575	5957	11463	99.0324	51.2513	35	1.33
JAACYQ010024295.1	1	11951	6630	11949	99.9833	55.2105	35	5.71
JAACYQ010024298.1	1	2272	1216	2259	99.4278	53.0145	35	9.09
JAACYQ010024311.1	1	2273	1013	2270	99.868	42.051	35.2	6.41
MU014403.1	1	13665	7945	13573	99.3267	57.9024	35.1	7.56
JAACYQ010024318.1	1	11953	6792	11949	99.9665	56.5036	35.1	5.42
JAACYQ010024319.1	1	2555	2639	2555	100	101.378	35.1	59.5
MU014404.1	1	10467	4730	10273	98.1466	44.7212	34.9	7.67
JAACYQ010024348.1	1	20821	11057	20816	99.976	52.8082	35	0.429
JAACYQ010024349.1	1	20787	11070	20779	99.9615	52.8809	35	0.482
MU014405.1	1	18580	12976	18349	98.7567	69.3645	34.9	35.7
JAACYQ010024352.1	1	9803	4920	9775	99.7144	49.695	34.9	1.08
JAACYQ010024353.1	1	10768	5562	10766	99.9814	51.5171	35.1	1.75
JAACYQ010024354.1	1	10766	5751	10730	99.6656	53.0676	35	2.26
MU014406.1	1	11579	6209	11478	99.1277	53.1271	35	5.15
JAACYQ010024417.1	1	6135	3752	6135	100	60.5314	35.2	3.32
JAACYQ010024433.1	1	3388	4807	3388	100	138.72	34	24.4
JAACYQ010024447.1	1	17005	8936	17005	100	52.2391	35	0.954
JAACYQ010024448.1	1	17003	8768	16996	99.9588	51.3423	35	0.751
JAACYQ010024449.1	1	10374	5725	10370	99.9614	54.6893	35	0.162
JAACYQ010024450.1	1	10375	5710	10375	100	54.9785	35	1.24
MU014407.1	1	10175	6754	10083	99.0958	65.7495	35	28.3
JAACYQ010024468.1	1	7410	3382	7410	100	44.9632	35	3.2
JAACYQ010024498.1	1	2194	1564	2194	100	70.727	35	2.45
JAACYQ010024499.1	1	13297	6263	13264	99.7518	46.4722	35	2.43
JAACYQ010024508.1	1	2194	1381	2194	100	62.634	35.1	1.19
JAACYQ010024509.1	1	13303	6596	13278	99.8121	49.2514	34.9	3.03
JAACYQ010024524.1	1	3122	1651	3121	99.968	51.1634	34.6	0
JAACYQ010024525.1	1	5383	3339	5383	100	61.9196	35	3.27
JAACYQ010024526.1	1	6395	10284	6395	100	158.505	34.9	19.8
JAACYQ010024537.1	1	36958	21177	36951	99.9811	57.068	35	1.71
MU014408.1	1	10468	4600	10276	98.1658	43.5908	35	7.06
JAACYQ010024554.1	1	3298	2316	3297	99.9697	69.3035	34.8	3.37
JAACYQ010024555.1	1	3318	2209	3312	99.8192	65.9337	34.9	0.353
JAACYQ010024559.1	1	5383	2996	5375	99.8514	54.7724	34.9	1.64
JAACYQ010024581.1	1	2010	2169	2009	99.9502	107.392	34.9	3.53
JAACYQ010024586.1	1	5479	6102	5479	100	110.758	34.8	53.5
JAACYQ010024590.1	1	1595	938	1593	99.8746	57.963	35	0
JAACYQ010024592.1	1	33807	19559	33804	99.9911	57.4561	34.9	0.123
JAACYQ010024593.1	1	33806	20132	33806	100	59.2515	35	1.74
JAACYQ010024594.1	1	4869	2743	4869	100	55.2325	35.1	0.271
JAACYQ010024595.1	1	4868	2702	4868	100	54.4893	35.2	0.541
JAACYQ010024601.1	1	2010	2093	2010	100	105.155	34.9	4.95
JAACYQ010024617.1	1	11757	6685	11752	99.9575	56.6377	35	0.11
