#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MU014373.1	1	7365	7547	7358	99.905	101.809	35	59.4
MU014374.1	1	3950	3773	3941	99.7722	93.1699	35	59.5
JAACYQ010017434.1	1	4373	5091	4373	100	116.44	35.2	59.8
JAACYQ010017472.1	1	4812	5426	4812	100	111.657	35.1	59.1
MU014375.1	1	2202	1350	2003	90.9628	58.7688	32.9	56.8
JAACYQ010017566.1	1	10448	13359	10448	100	127.159	35	43.3
JAACYQ010017630.1	1	9068	9385	9067	99.989	102.324	35	59.8
JAACYQ010017639.1	1	3134	3595	3134	100	114.668	34.7	58.9
JAACYQ010017643.1	1	2553	2638	2553	100	101.175	35.1	59.8
JAACYQ010017653.1	1	5756	7110	5756	100	122.817	35	59.9
JAACYQ010017657.1	1	5712	6327	5657	99.0371	110.049	35.1	58.4
JAACYQ010017663.1	1	6663	7405	6663	100	110.285	35	60
JAACYQ010017727.1	1	4657	3822	4639	99.6135	81.7011	35.1	59.1
JAACYQ010017730.1	1	6838	7668	6833	99.9269	110.466	35	57.3
JAACYQ010017755.1	1	7881	8725	7881	100	110.273	35	57.2
JAACYQ010017763.1	1	4418	4447	4411	99.8416	99.3393	34.9	59.4
JAACYQ010017779.1	1	3599	6123	3599	100	168.384	35	44.6
JAACYQ010017780.1	1	8479	8742	8475	99.9528	102.04	35.1	54.8
JAACYQ010017788.1	1	9703	102019	9703	100	1020.21	35.2	53.4
JAACYQ010017801.1	1	3593	3248	3593	100	90.1806	34.9	59.8
JAACYQ010017805.1	1	8766	9259	8766	100	105.176	35.1	59.9
JAACYQ010017859.1	1	1236	1152	1236	100	93.0065	35.1	59.4
JAACYQ010017908.1	1	7123	8928	7123	100	124.597	35.1	55.7
MU014376.1	1	13271	12190	13263	99.9397	91.2072	35.1	50.4
JAACYQ010017985.1	1	7891	9181	7889	99.9747	115.399	35	57.9
JAACYQ010018068.1	1	4815	4708	4815	100	97.0741	35.1	59.9
JAACYQ010018084.1	1	3871	3150	3871	100	80.2824	33.3	59.8
JAACYQ010018098.1	1	5389	5935	5389	100	108.126	35	50.8
JAACYQ010018105.1	1	2344	2742	2344	100	114.708	34.9	34.1
JAACYQ010018110.1	1	2472	2435	2472	100	100.011	35.1	59.9
JAACYQ010018149.1	1	2619	2820	2619	100	106.709	35.1	55.5
JAACYQ010018150.1	1	12585	13599	12578	99.9444	107.568	35	59.7
JAACYQ010018151.1	1	7481	7019	7480	99.9866	93.1087	35	59
JAACYQ010018157.1	1	7709	7685	7709	100	98.8589	35	59.8
JAACYQ010018165.1	1	8815	9281	8815	100	104.509	35	59.2
JAACYQ010018202.1	1	3530	3441	3530	100	97.0119	35.1	59.1
JAACYQ010018204.1	1	3022	3056	3022	100	99.997	35.1	57.8
JAACYQ010018327.1	1	1510	2468	1510	100	160.153	33.5	59
JAACYQ010018349.1	1	15214	20590	15214	100	134.417	35.1	58.6
MU014377.1	1	7251	6226	7230	99.7104	84.6416	35.1	44.1
JAACYQ010018385.1	1	6152	5542	6152	100	88.7159	35	59.6
JAACYQ010018403.1	1	5752	5903	5752	100	103.043	35	60
JAACYQ010018428.1	1	12330	2853	11589	93.9903	22.5716	34.7	6.04
JAACYQ010018440.1	1	6159	5763	6159	100	92.9605	35	56.7
JAACYQ010018444.1	1	8448	8835	8448	100	103.178	35.2	59.9
MU014378.1	1	7776	7778	7754	99.7171	99.9757	35.1	50.4
JAACYQ010018558.1	1	5102	5664	5102	100	109.864	34.9	59.8
MU014379.1	1	15511	15199	15413	99.3682	97.0993	35	59.6
MU014380.1	1	9885	9407	9845	99.5953	94.0876	35	59.1
JAACYQ010018619.1	1	13146	14281	13146	100	108.084	35.1	59.8
JAACYQ010018620.1	1	12358	11884	12358	100	95.1814	34.8	58.1
JAACYQ010018653.1	1	11136	11693	11136	100	103.581	35	59
JAACYQ010018693.1	1	5733	5936	5733	100	102.677	35	59.8
JAACYQ010018694.1	1	5848	5541	5848	100	94.1975	34.9	54.2
JAACYQ010018712.1	1	5297	4840	5297	100	90.7038	34.9	58.8
JAACYQ010018717.1	1	8745	9785	8737	99.9085	111.344	35.1	59.3
MU014381.1	1	11778	11177	11770	99.9321	94.6252	35.1	59.8
JAACYQ010018765.1	1	11482	11706	11482	100	100.824	34.9	59.6
JAACYQ010018792.1	1	4880	5241	4880	100	104.943	34.8	53.8
JAACYQ010018797.1	1	9760	9827	9760	100	100.498	35.1	59.8
JAACYQ010018802.1	1	9082	9216	9082	100	101.126	35	59.6
JAACYQ010018818.1	1	5253	5526	5245	99.8477	103.228	35	59.4
JAACYQ010018830.1	1	12921	13449	12921	100	103.609	35	57
MU014382.1	1	6894	5964	6889	99.9275	85.3053	35	58.6
JAACYQ010018898.1	1	6944	6748	6944	100	97.215	35.1	59.8
JAACYQ010018964.1	1	8002	8148	8002	100	96.3323	35	51.2
JAACYQ010018986.1	1	3278	14642	3278	100	447.509	34.9	59.7
JAACYQ010018989.1	1	8658	8567	8652	99.9307	98.7241	35	59.8
JAACYQ010018991.1	1	16126	16799	16084	99.7396	103.386	35	59.6
JAACYQ010019014.1	1	9010	9576	9010	100	105.621	35.1	59.8
JAACYQ010019024.1	1	8013	8251	8008	99.9376	102.437	35	59.8
JAACYQ010019064.1	1	3027	1487	3013	99.5375	48.6895	34.8	6.58
JAACYQ010019169.1	1	10386	10960	10382	99.9615	104.682	35.1	55.1
JAACYQ010019182.1	1	1503	3639	1503	100	239.18	34.7	59.4
JAACYQ010019243.1	1	6632	6350	6632	100	93.7055	35.1	57.5
JAACYQ010019262.1	1	8360	7943	8360	100	95.1846	35	59.9
MU014383.1	1	7367	6626	7327	99.457	88.9849	35	59.7
JAACYQ010019268.1	1	9901	9822	9901	100	98.4507	34.9	57.8
MU014384.1	1	15565	13743	15358	98.6701	87.5036	35	34.6
JAACYQ010019304.1	1	4490	5296	4490	100	116.811	35	58.8
MU014385.1	1	17587	20525	17579	99.9545	115.466	35	52.6
JAACYQ010019335.1	1	7481	8086	7481	100	92.68	34.9	57.8
JAACYQ010019366.1	1	1442	80598	1442	100	5030.15	34.5	54
JAACYQ010019371.1	1	1188	463	942	79.2929	31.1843	35	17.6
JAACYQ010019379.1	1	2286	1873	2285	99.9563	77.4611	34.4	52.5
JAACYQ010019382.1	1	17215	16974	17188	99.8432	97.7255	34.9	58.5
JAACYQ010019410.1	1	3858	2820	3851	99.8186	72.0791	34.7	20.2
MU014386.1	1	10531	9525	10522	99.9145	87.8828	33.7	58.5
JAACYQ010019426.1	1	6976	8759	6976	100	123.769	34.1	59.9
JAACYQ010019534.1	1	1474	397	1474	100	26.9722	34.5	49.9
MU014387.1	1	21224	18055	21218	99.9717	84.5188	34.9	37.7
JAACYQ010019579.1	1	4303	2173	4302	99.9768	49.9263	35.3	1.94
JAACYQ010019634.1	1	9686	8561	9683	99.969	86.5566	34.3	59.5
MU014388.1	1	5194	6279	5181	99.7497	119.614	34.9	49.2
JAACYQ010019694.1	1	3108	4201	3105	99.9035	134.591	35	11.6
JAACYQ010019743.1	1	2865	6994	2865	100	242.946	34.7	10.2
JAACYQ010019756.1	1	3703	3689	3701	99.946	98.5028	34.9	3.88
JAACYQ010019798.1	1	10453	11055	10453	100	104.994	35	51.6
JAACYQ010019811.1	1	7449	2710	7397	99.3019	36.2968	35.2	1.78
JAACYQ010019816.1	1	4538	1769	4538	100	38.446	35	2.21
JAACYQ010019855.1	1	6144	4865	6131	99.7884	73.9678	32.8	58.4
JAACYQ010019891.1	1	11209	14566	11209	100	129.678	35.1	45.6
JAACYQ010019896.1	1	9504	9291	9504	100	96.8466	35.1	51.3
JAACYQ010019915.1	1	11700	12399	11700	100	105.086	35.1	55.7
JAACYQ010019926.1	1	5728	8184	5728	100	139.596	34.1	59.6
JAACYQ010019944.1	1	2473	5922	2473	100	227.707	34.7	16.1
JAACYQ010020174.1	1	2103	7239	2103	100	342.231	35.1	59.5
MU014389.1	1	91009	87783	87899	96.5828	95.743	35	54.1
JAACYQ010020250.1	1	2078	3488	2078	100	157.062	35.1	59.5
JAACYQ010020290.1	1	3846	27401	3846	100	660.145	34.8	52.3
MU014390.1	1	1531	17188	1523	99.4775	1079.48	34.6	58.2
MU014391.1	1	10889	11241	10795	99.1367	99.7075	34.9	51.4
JAACYQ010020476.1	1	4394	6899	4394	100	154.39	35.1	59.8
MU014392.1	1	8103	8761	8004	98.7782	107.154	35	47
JAACYQ010020520.1	1	10519	10730	10519	100	101.039	35	53.6
MU014393.1	1	46041	58514	45939	99.7785	125.943	34.9	56.5
JAACYQ010022907.1	1	2099	3126	2099	100	146.431	35.2	59.6
JAACYQ010022924.1	1	12846	18165	12846	100	138.393	34.9	41
JAACYQ010022925.1	1	1826	5450	1826	100	284.019	34.3	57.1
JAACYQ010022941.1	1	9702	12068	9700	99.9794	123.495	35	47.6
JAACYQ010022943.1	1	11230	15175	11230	100	133.111	35	56.4
MU014394.1	1	3404	5201	3395	99.7356	146.763	34.8	59.2
JAACYQ010023404.1	1	11256	12911	11256	100	112.979	34.8	57.9
JAACYQ010023413.1	1	18756	20302	18756	100	104.717	34	54.4
JAACYQ010023439.1	1	9408	33239	9408	100	351.686	34.9	59.2
JAACYQ010023445.1	1	21887	26817	21887	100	121.913	35	47.6
JAACYQ010023452.1	1	4331	3035	4331	100	69.5701	34.8	1.96
JAACYQ010023461.1	1	1741	836	1741	100	47.2321	34.8	1.26
JAACYQ010023462.1	1	1671	799	1669	99.8803	46.5919	34.9	0
JAACYQ010023578.1	1	2177	2479	2174	99.8622	112.973	34.7	7.65
JAACYQ010023582.1	1	2177	3417	2177	100	156.191	34.6	0.554
MU014395.1	1	5217	3106	5130	98.3324	58.7959	35.1	2.74
JAACYQ010023711.1	1	9594	5339	9594	100	55.5952	35.1	0.153
JAACYQ010023712.1	1	9593	5290	9593	100	54.8813	35.1	0.025
JAACYQ010023715.1	1	8554	4792	8554	100	55.6931	35.1	0.673
JAACYQ010023716.1	1	8554	4741	8554	100	55.2303	35	0.00844
JAACYQ010023717.1	1	2234	946	2234	100	42.1509	35.1	1.77
JAACYQ010023718.1	1	2237	902	2234	99.8659	39.578	35.1	0.468
JAACYQ010023743.1	1	2662	1127	2662	100	42.1721	35	4.83
JAACYQ010023744.1	1	2662	1345	2662	100	49.9977	35.1	7.87
JAACYQ010023745.1	1	2860	1187	2806	98.1119	41.2091	34.7	6
JAACYQ010023746.1	1	2860	1316	2860	100	45.942	34.9	6.24
JAACYQ010023748.1	1	1318	813	1318	100	61.261	35.1	9.64
JAACYQ010023783.1	1	1319	652	1319	100	48.5299	35.1	7.16
MU014396.1	1	5217	3205	5132	98.3707	61.0447	35.1	3.56
JAACYQ010023815.1	1	4232	2261	4231	99.9764	53.0274	35.1	2.29
JAACYQ010023854.1	1	5834	3511	5834	100	59.9895	35	3.51
JAACYQ010023855.1	1	5470	3310	5463	99.872	59.8133	35.1	7.08
JAACYQ010023884.1	1	5842	3176	5842	100	54.2025	35	2.26
JAACYQ010023885.1	1	5470	2621	5470	100	47.4881	35	3.99
JAACYQ010023892.1	1	3501	2123	3501	100	59.6567	34.9	7.73
JAACYQ010023906.1	1	7054	4017	7054	100	56.0682	35.1	0.296
JAACYQ010023907.1	1	7053	4108	7053	100	58.2527	35.1	0.457
JAACYQ010023908.1	1	9241	5136	9241	100	55.122	35.1	0.0993
JAACYQ010023909.1	1	9240	5344	9240	100	56.9326	35.1	0.437
JAACYQ010023912.1	1	14767	17595	14767	100	118.382	35.1	55.7
JAACYQ010023914.1	1	10360	11055	10360	100	105.978	34.9	55
MU014397.1	1	14153	7260	14046	99.244	50.6203	35.1	2.01
JAACYQ010023934.1	1	23244	14288	23243	99.9957	61.2636	35	0.255
JAACYQ010023935.1	1	23246	15022	23246	100	64.3392	35	0.673
JAACYQ010023936.1	1	7254	4140	7183	99.0212	56.7946	35	0.0188
JAACYQ010023937.1	1	7255	4445	7252	99.9586	59.9041	34.9	1.41
JAACYQ010023949.1	1	6005	8017	6005	100	132.704	35.1	44
JAACYQ010023957.1	1	3934	4471	3934	100	113.499	35.2	59.9
JAACYQ010023969.1	1	7321	6818	7321	100	92.7392	35	58.4
JAACYQ010023971.1	1	14212	13721	14211	99.993	96.1081	35	58.5
JAACYQ010023973.1	1	17259	10248	17259	100	59.0319	35	1.29
JAACYQ010023974.1	1	17258	10155	17258	100	58.5016	35	1.5
JAACYQ010023975.1	1	24523	14128	24523	100	57.31	35	0.745
JAACYQ010023976.1	1	24524	14159	24479	99.8165	57.4068	35	0.396
JAACYQ010024003.1	1	4397	2148	4397	100	48.345	35.1	5.09
JAACYQ010024035.1	1	7517	3402	7517	100	44.4703	35	5.07
JAACYQ010024041.1	1	13644	9042	13640	99.9707	65.976	35	11.2
JAACYQ010024057.1	1	7588	8279	7588	100	108.624	35	50.1
JAACYQ010024065.1	1	7516	2848	7501	99.8004	37.1425	35.1	1.88
JAACYQ010024066.1	1	13664	7737	13584	99.4145	56.5154	34.9	6.71
JAACYQ010024082.1	1	3724	1875	3722	99.9463	48.6692	35	0
JAACYQ010024083.1	1	12014	5558	12007	99.9417	45.7914	34.9	1.63
JAACYQ010024085.1	1	2713	1567	2713	100	57.742	34.8	12.9
JAACYQ010024090.1	1	7788	4640	7788	100	59.2325	35.1	0.518
MU014398.1	1	12685	13128	12575	99.1328	102.807	35.1	59.9
JAACYQ010024114.1	1	7788	4543	7788	100	58.1407	35.1	0.76
JAACYQ010024120.1	1	4228	2201	4228	100	51.8548	35	2.28
JAACYQ010024125.1	1	20807	14788	20802	99.976	70.606	35	3.32
JAACYQ010024142.1	1	9097	5207	9097	100	56.7473	35	2.93
JAACYQ010024165.1	1	3841	3854	3841	100	100.46	35.2	59.8
JAACYQ010024166.1	1	9025	3910	8981	99.5125	41.4054	34	0.709
JAACYQ010024167.1	1	9023	4733	9023	100	51.1436	33.8	4.32
JAACYQ010024168.1	1	6800	5272	6800	100	58.0981	32.1	2.05
JAACYQ010024169.1	1	6797	3734	6797	100	49.8184	34	2.34
JAACYQ010024170.1	1	15999	17983	15999	100	111.934	34.9	59.8
JAACYQ010024171.1	1	3778	2171	3745	99.1265	57.2927	35.1	0.0272
JAACYQ010024172.1	1	3777	2148	3777	100	56.5319	35	1.19
JAACYQ010024188.1	1	20798	15627	20795	99.9856	74.5894	35	6.44
JAACYQ010024193.1	1	6381	6765	6381	100	105.657	34.9	58.8
JAACYQ010024201.1	1	4180	2438	4177	99.9282	56.8993	35.1	16.2
MU014399.1	1	3429	1752	3324	96.9379	51.5214	34.9	2.67
JAACYQ010024245.1	1	9095	5137	9095	100	56.0904	35	2.44
MU014400.1	1	13830	6629	13717	99.1829	46.9819	35.2	0.791
JAACYQ010024254.1	1	6259	15202	6259	100	241.573	34.9	59
JAACYQ010024256.1	1	3234	1894	3234	100	58.9963	34.9	3.09
JAACYQ010024257.1	1	4182	2182	4156	99.3783	51.8183	35.2	14.2
JAACYQ010024264.1	1	6391	3309	6391	100	51.072	35	2.28
MU014401.1	1	13652	8709	13546	99.2236	63.3684	35.1	8.7
JAACYQ010024282.1	1	6392	3641	6392	100	56.8151	35	3.12
MU014402.1	1	11575	6154	11476	99.1447	52.8305	35	1.82
JAACYQ010024295.1	1	11951	7264	11933	99.8494	60.4067	35.1	6.34
JAACYQ010024298.1	1	2272	1161	2268	99.8239	50.6593	35.2	10.2
JAACYQ010024311.1	1	2273	1176	2268	99.78	48.971	35.1	6.61
MU014403.1	1	13665	8053	13571	99.3121	58.6525	35.1	7.15
JAACYQ010024318.1	1	11953	7141	11939	99.8829	59.4228	35.1	4.93
JAACYQ010024319.1	1	2555	2661	2555	100	101.809	35.2	59.5
MU014404.1	1	10467	5462	10279	98.2039	51.785	35	7.22
JAACYQ010024348.1	1	20821	11548	20818	99.9856	55.0336	35.1	0.397
JAACYQ010024349.1	1	20787	11470	20779	99.9615	54.8166	35	0.471
MU014405.1	1	18580	13593	18356	98.7944	72.6449	34.9	35.4
JAACYQ010024352.1	1	9803	5303	9668	98.6229	53.5699	35	1.08
JAACYQ010024353.1	1	10768	6037	10768	100	55.8311	35.1	1.63
JAACYQ010024354.1	1	10766	5899	10723	99.6006	54.4316	35	2.13
MU014406.1	1	11579	6920	11476	99.1105	59.287	35	5.06
JAACYQ010024417.1	1	6135	4175	6135	100	67.3993	35.2	3.79
JAACYQ010024433.1	1	3388	5439	3388	100	156.877	34.1	24.1
JAACYQ010024447.1	1	17005	9381	17005	100	54.8597	35.1	1
JAACYQ010024448.1	1	17003	9545	17001	99.9882	55.8314	35.1	0.883
JAACYQ010024449.1	1	10374	6051	10367	99.9325	57.6832	35.1	0.172
JAACYQ010024450.1	1	10375	6125	10375	100	58.9835	35	1.19
MU014407.1	1	10175	6855	10083	99.0958	66.649	35	28.6
JAACYQ010024468.1	1	7410	3767	7407	99.9595	50.268	34.9	3.56
JAACYQ010024498.1	1	2194	1545	2194	100	69.5729	35	3.1
JAACYQ010024499.1	1	13297	6903	13268	99.7819	51.3808	35.1	2.87
JAACYQ010024508.1	1	2194	1467	2194	100	66.0246	34.9	0.724
JAACYQ010024509.1	1	13303	6906	13278	99.8121	51.6134	35.1	3.06
JAACYQ010024524.1	1	3122	1676	3120	99.9359	51.8527	34.6	0
JAACYQ010024525.1	1	5383	3476	5383	100	64.3847	35	2.98
JAACYQ010024526.1	1	6395	9905	6395	100	152.471	34.9	19.6
JAACYQ010024537.1	1	36958	22677	36958	100	61.1654	35	1.85
MU014408.1	1	10468	5399	10270	98.1085	51.2183	35.1	6.98
JAACYQ010024554.1	1	3298	2362	3296	99.9394	70.9485	34.9	2.59
JAACYQ010024555.1	1	3318	2047	3309	99.7288	60.9849	35	0.185
JAACYQ010024559.1	1	5383	3232	5383	100	59.4169	35	2.07
JAACYQ010024581.1	1	2010	2216	2007	99.8507	109.255	35	3.21
JAACYQ010024586.1	1	5479	6545	5479	100	118.504	34.8	53.8
JAACYQ010024590.1	1	1595	1105	1593	99.8746	68.3103	35.2	0
JAACYQ010024592.1	1	33807	20958	33806	99.997	61.6028	35	0.134
JAACYQ010024593.1	1	33806	21249	33806	100	62.4331	35	1.61
JAACYQ010024594.1	1	4869	2724	4869	100	54.9881	35	0.29
JAACYQ010024595.1	1	4868	2699	4868	100	54.5452	35	0.697
JAACYQ010024601.1	1	2010	2443	2010	100	122.317	35	5.47
JAACYQ010024617.1	1	11757	7440	11746	99.9064	62.9548	35.1	0.116
JAACYQ010024619.1	1	5041	3236	5038	99.9405	63.2744	35	4.66
